Course CRN Meeting Time,Day,Time,Building,Room,Comments
AAST 100 - 24576 - 11:00 AM (MW),Thu May 4,10:30 - 12:30 pm,2BH,209,
AAST 103 - 35982 - 9:00 AM (MWF),Tue May 2,10:30 - 12:30 pm,2LH,107,
AAST 104 - 33342 - 9:30 AM (TR),Wed May 3,10:30 - 12:30 pm,2SH,220,
AAST 111 - 26440 - 1:00 PM (MWF),Mon May 1,1:00 - 3:00 pm,2LCA,A002,
AAST 206 - 38025 - 3:30 PM (TR),Fri May 5,1:00 - 3:00 pm,2GH,204 ,
AAST 225 - 28933 - 9:30 AM (TR),Wed May 3,10:30 - 12:30 pm,2LCC,C006,
AAST 248 - 20976 - 2:00 PM (MWF),Wed May 3,1:00 - 3:00 pm,2LH,312,
AAST 258 - 34545 - 12:00 PM (MWF),Tue May 2,8:00 - 10:00 am,2LH,210,
AAST 261 - 38022 - 11:00 AM (TR),Mon May 1,10:30 - 12:30 pm,2SH,103,
AAST 263 - 30185 - 12:30 PM (TR),Fri May 5,8:00 - 10:00 am,2TH,215,
AAST 294 - 39735 - 10:00 AM (MWF),Fri May 5,10:30 - 12:30 pm,2SH,315,
AAST 351 - 30499 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,2SH,100,
AAST 356 - 28467 - 9:30 AM (TR),Wed May 3,10:30 - 12:30 pm,2BH,B10,
AAST 358 - 31853 - 11:00 AM (TR),Mon May 1,10:30 - 12:30 pm,2BH,B10,
AAST 390 - 33850 - 3:00 PM (W),Mon May 1,8:00 - 10:00 am,,,
AAST 481 - 38026 - 3:30 PM (T),Fri May 5,1:00 - 3:00 pm,2TH,316,
AAST 481 - 38028 - 3:30 PM (T),Fri May 5,1:00 - 3:00 pm,2TH,316,
ACTG 210 - 39072 - 9:00 AM (MWF),Mon May 1,6:00 - 8:00 pm,2BSB,"140, 145",combined section final
ACTG 210 - 27457 - 9:00 AM (MWF),Mon May 1,6:00 - 8:00 pm,2BSB,250,combined section final
ACTG 210 - 40037 - 10:00 AM (MWF),Mon May 1,6:00 - 8:00 pm,2BSB,"140, 145",combined section final
ACTG 210 - 27502 - 8:00 AM (MWF),Mon May 1,6:00 - 8:00 pm,2BSB,"140, 145",combined section final
ACTG 210 - 27456 - 8:00 AM (MWF),Mon May 1,6:00 - 8:00 pm,2BSB,250,combined section final
ACTG 211 - ALL,Tue May 2,6:00 - 8:00 pm,2LCA,"A001, 2LCB B101, 2LCE E101, 2BH 317",combined section final
ACTG 315 - ALL,Thu May 4,1:00 - 3:00 pm,2LCD1,2LCD1,combined section final
ACTG 316 - 39074 - 3:30 PM (TR),Fri May 5,1:00 - 3:00 pm,2SH,303,
ACTG 316 - 17771 - 12:30 PM (TR),Fri May 5,8:00 - 10:00 am,2BH,B6,
ACTG 316 - 17770 - 11:00 AM (TR),Mon May 1,10:30 - 12:30 pm,2SH,319,
ACTG 316 - 17769 - 11:00 AM (TR),Mon May 1,10:30 - 12:30 pm,2SH,319,
ACTG 326 - 21884 - 2:00 PM (MWF),Wed May 3,1:00 - 3:00 pm,2DH,330 ,
ACTG 326 - 21885 - 1:00 PM (MWF),Mon May 1,1:00 - 3:00 pm,2DH,330 ,
ACTG 355 - 17774 - 3:30 PM (T),Fri May 5,1:00 - 3:00 pm,2BSB,365,
ACTG 355 - 17775 - 1:00 PM (MWF),Mon May 1,1:00 - 3:00 pm,2GH,205 ,
ACTG 417 - 17776 - 6:00 PM (M),Mon May 1,6:00 - 8:00 pm,2LCF,F001,
ACTG 417 - 19093 - 6:00 PM (M),Mon May 1,6:00 - 8:00 pm,2LCF,F001,
ACTG 435 - 17777 - 3:30 PM (TR),Fri May 5,1:00 - 3:00 pm,2BSB,335,
ACTG 435 - 20489 - 11:00 AM (TR),Mon May 1,10:30 - 12:30 pm,2SH,303,
ACTG 435 - 17778 - 11:00 AM (TR),Mon May 1,10:30 - 12:30 pm,2SH,303,
ACTG 435 - 20481 - 3:30 PM (TR),Fri May 5,1:00 - 3:00 pm,2BSB,335,
ACTG 445 - 36993 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,2SES,130,
ACTG 445 - 19101 - 3:30 PM (TR),Fri May 5,1:00 - 3:00 pm,2LCC,C006,
ACTG 445 - 36996 - 3:30 PM (TR),Fri May 5,1:00 - 3:00 pm,2LCC,C006,
ACTG 445 - 17780 - 3:30 PM (TR),Fri May 5,1:00 - 3:00 pm,2LCC,C006,
ACTG 445 - 36995 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,2SES,130,
ACTG 445 - 36994 - 2:00 PM (TR),Wed May 3,3:30 - 5:30 pm,2SES,130,
ACTG 446 - 19105 - 6:00 PM (W),Wed May 3,6:00 - 8:00 pm,2BH,317,
ACTG 446 - 17781 - 6:00 PM (W),Wed May 3,6:00 - 8:00 pm,2BH,317,
ACTG 456 - 19107 - 3:00 PM (M),Mon May 1,8:00 - 10:00 am,2LH,210,
ACTG 456 - 17783 - 3:00 PM (M),Mon May 1,8:00 - 10:00 am,2LH,210,
ACTG 465 - 17784 - 3:00 PM (M),Mon May 1,8:00 - 10:00 am,2BSB,211,
ACTG 465 - 19109 - 3:00 PM (M),Mon May 1,8:00 - 10:00 am,2BSB,211,
ACTG 470 - 33513 - 8:00 AM (MWF),Wed May 3,8:00 - 10:00 am,2GH,205 ,
ACTG 470 - 34147 - 10:00 AM (MWF),Fri May 5,10:30 - 12:30 pm,2GH,205 ,
